Upc,UPC,Description,ClickList Eligible,Primary Department,Recap Department,Department,Commodity,Sub-Commodity,Last 7 Days Sales,,,
1111049231,,Big K Mixed Pack,N,01 - GROCERY        ,01 - GROCERY        ,12 - SOFT DRINKS,029 - SOFT DRINKS,8218 - SOFT DRINKS 12&15PK CAN CARB (EXCPT TEA)               ,0.01,,,
68692455990,,Kroger White Dinner Roll ,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2404 - DINNER ROLLS                  ,0.45,,,
68692400249,,Kroger Half & Half,Y,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,060 - FLUID MILK PRODUCTS,8296 - HALF & HALF                   ,0.5,,,
68692403817,,Kroger Multigrain Bread,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2412 - MAINSTREAM VARIETY BREADS     ,1.39,,,
68692441299,,Private Selection Whole Wheat Grain Bread,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2405 - PREMIUM BREAD                 ,2.57,,,
68692403753,,Kroger Butter Crust Honey Wheat Bread,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2412 - MAINSTREAM VARIETY BREADS     ,2.97,,,
68692418430,,Daisy Light Sour Cream,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,061 - MILK BY-PRODUCTS,4533 - SOUR CREAMS                   ,16.94,,,
3,,Sandwich Rolls,N,01 - GROCERY        ,01 - GROCERY        ,45 - FROZEN GROCERY,045 - FROZEN ICE,0206 - BLOCK ICE                     ,30.38,,,
68692403761,,Kroger Tender Twist Round Top Bread,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2412 - MAINSTREAM VARIETY BREADS     ,39.21,,,
68692415568,,Breakstone's Light Sour Cream,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,061 - MILK BY-PRODUCTS,4533 - SOUR CREAMS                   ,40.26,,,
68692433743,,Dannon Oikos Triple Zero Mixed Berry,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,062 - YOGURT,4534 - GREEK SS YOGURT                                        ,43.1,,,
